LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity
,,,(quality),(micron),(micron),(micron),(frame),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,
ID398748,398748,31,130.0,92.97256749402203,68.20765928265968,0.0,30.0,30,1.9479804939468932,1,,33208.75572519082,32804.0,32474.0,36923.0,4350347.0,811.50261473206,37615.03053435112,36682.0,32671.0,52018.0,4927569.0,3893.8099197788497,-0.8301341615638433,-399.9769044904695,-0.8113319888885376,-83.08392316649227,-0.017290167282603127,0.02890626363417998,3.1497836134950754,1.2368524006259076,-1.1531641639805152,2.5466123620741903,11.921175462978178,26.588725606835453,0.21190143604615622,0.7254901960784316
ID370334,370334,31,142.0,93.89333912462213,69.78574941706707,0.0,10.0,10,2.0505750557758886,1,,33208.96503496503,32802.0,32380.0,36515.0,4748882.0,771.2006316528757,38375.31468531469,36704.0,32494.0,52045.0,5487670.0,4547.662072961583,-0.824165052005914,-403.6704486745287,-0.8002826480066394,-67.62719291649438,0.006373667256635907,0.04887510916283652,3.226810614938201,1.4173360726940991,1.8737366224631213,2.2766728915638326,13.209951188705531,29.439060938970123,0.1915416268638366,0.652272727272727
ID377118,377118,31,137.0,93.8807519698902,70.05122525352074,0.0,12.0,12,1.9925965184474106,1,,33184.26666666666,32797.0,32467.0,37729.0,4479876.0,834.5133553745604,39077.785185185174,37880.0,32788.0,50957.0,5275501.0,4441.229991969559,-0.8324906304468536,-395.2475432096627,-0.8069703117068854,-73.56819841892327,0.024706270020181737,0.04305951824368122,3.409472867401642,1.250335961037121,-1.3320120510412734,2.7268454028736193,12.473507916861331,24.673092228507937,0.2574846281575444,0.7094240837696332
ID404762,404762,31,116.0,92.64462767264676,67.99318784612697,0.0,34.0,34,1.8476201170641295,1,,33247.53781512607,32797.0,32523.0,37394.0,3956457.0,914.2435864813625,37327.02521008404,36224.0,32253.0,49626.0,4441916.0,3699.8266781717766,-0.8292725615319492,-353.28201881870467,-0.8121301522954012,-87.22491357696487,-0.04352057900097,0.10246501547572154,3.244918893161103,1.1204235135626681,1.9406951255424616,2.896153868498411,10.724455146231344,18.450239346507082,0.3958959804164893,0.7925170068027223
ID415259,415259,31,131.0,92.2531681796205,67.41618382134543,0.0,42.0,42,1.944216276914683,1,,33232.798449612405,32808.0,32381.0,37129.0,4287031.0,827.3378559029422,36831.720930232565,36007.0,32744.0,49640.0,4751292.0,3129.4142996752007,-0.8258912220875447,-381.08003456985557,-0.8104413568122143,-100.63914715959044,-0.12301434301594033,0.15179746487691162,2.9587737116635355,1.4675378704150401,-1.3654903839813448,2.01614811536465,11.875147758487932,25.50766031876562,0.22935469579500536,0.6632390745501302
ID379930,379930,31,128.0,93.84334760330981,69.484543120048,0.0,16.0,16,1.9479804939468957,1,,33309.946153846155,32811.0,32465.0,36485.0,4330293.0,860.0725975445955,38652.66923076922,37575.0,32577.0,50404.0,5024847.0,4450.963770538109,-0.828073053238964,-373.07274012883596,-0.8051550870357227,-71.77048750329371,0.0203617792373771,-0.037674075544446274,3.206306967133232,1.1825261134601395,-1.220048544384508,2.711404788982962,11.921175462978209,24.79677304890459,0.24363440073144746,0.7754491017964082
ID370595,370595,31,123.0,94.06718174359926,69.8698372228123,0.0,11.0,11,1.9404447577919837,1,,33461.81954887217,32809.0,32351.0,37926.0,4450422.0,1001.7736530969403,38761.045112781954,37898.0,32566.0,52680.0,5155219.0,4386.843658694506,-0.8276454606707891,-320.79792797858534,-0.8043706264030152,-72.6600103876769,0.02511463077140876,-0.1120426114156421,3.6675920950628367,1.1190472053582898,1.8687516123701435,3.2774239348451517,11.829120053997656,21.623448978841807,0.31791598988955283,0.7470930232558142
ID378531,378531,31,124.0,93.86027335398742,69.46813007850616,0.0,17.0,17,1.8984636027295416,1,,33394.71774193549,32801.0,32165.0,36578.0,4140945.0,1026.6506008706322,38211.74193548388,37162.0,32661.0,57178.0,4738256.0,4357.937005165557,-0.8329597211807808,-324.40527085074655,-0.8122206434098989,-75.8528774540063,-0.06949918118712438,-0.04146147031250027,3.353558767485328,1.2000974664409731,-1.2211915407982685,2.79440533895192,11.32281530460478,25.744134322383694,0.2146879661939813,0.6666666666666665
ID407599,407599,31,89.0,92.90068833563492,66.99112029657962,0.0,36.0,36,1.6329407076567792,1,,33219.362637362654,32804.0,32390.0,36214.0,3022962.0,816.1762407236907,38019.74725274726,37074.0,32509.0,50235.0,3459797.0,4022.146540215136,-0.8323277580340724,-404.08297257709233,-0.8136844094412184,-82.56350646939399,-0.03057772787470848,-0.021195104994169198,2.445570149248082,1.1762237822829325,-1.4286304744950993,2.079170805832097,8.377042217227903,17.77525012455004,0.3331724841098718,0.7583333333333322
ID383022,383022,31,128.0,93.40453506814778,69.18834619012479,0.0,21.0,21,1.9328796422144852,1,,33401.58914728683,32800.0,32517.0,37829.0,4308805.0,1088.2714333721153,37626.527131782954,36231.0,32627.0,52709.0,4853822.0,4059.678691637583,-0.8293313981905677,-298.2870324086609,-0.8108202808316839,-79.44791342093168,0.033260845104072345,-0.03209723391279322,3.2676625681102895,1.2815299750126272,-1.16738467247382,2.549813607034898,11.73706464501713,26.909040205838718,0.2036915183236795,0.5679287305122492
ID387368,387368,31,124.0,93.6971377656968,69.5516564469304,0.0,18.0,18,1.913836028608306,1,,33470.387096774204,32816.0,32303.0,38218.0,4150328.0,1120.4987616923563,38173.169354838705,37097.0,32412.0,52166.0,4733473.0,3907.7607954556784,-0.8286162111399478,-288.84379061670415,-0.8079173769162823,-82.1748868076434,-0.1050967106191872,0.020873291926271707,3.39691193201546,1.158744950906894,1.9148852214808967,2.931544106713786,11.506926122565817,23.780864787260136,0.25569009328399767,0.7142857142857123
